"Npcap","0.9994"
"Network Time Protocol","4.2.4p6@vegas-v2-o-custom"
"NTP Time Server Monitor 1.04","0.9g"
"WinPcap 4.1.3","4.1.0.2980"
"Wireshark 3.2.5 64-bit","3.2.5"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.24.28127","14.24.28127"
"Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.26.28720","14.26.28720.3"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161"
"Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.24.28127","14.24.28127.4"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.24.28127","14.24.28127"
"MOXA Smartio/Industio Windows Driver Ver3.1","3.1"
"Notepad++ (64-bit x64)","7.8.4"
"PComm Lite Ver1.6",
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219"
"7-Zip 9.20 (x64 edition)","9.20.00.0"
"7-Zip 19.00 (x64 edition)","19.00.00.0"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161"
"VMware Tools","11.1.1.16303738"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.26.28720","14.26.28720"
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.26.28720","14.26.28720"
